CodItem,Desc Item,Category,Family,Speciality,Testing Cost
70003237,"MAGNESIO, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,1.78
70000638,"HEMOGRAMA, AUTOMATIZADO, SANGUE",CA,HEMATO,BLOOD COUNT,2.46
70001597,"FERRITINA, SORO",CA,CORELAB,IMMUNOHORMONE,2.11
70000103,"FERRO, DOSAGEM, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: NG/ML)",CA,CORELAB,BIOCHEMISTRY,0.8
70000224,"CALCIO, DOSAGEM, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,1.02
70002653,"ALBUMINA, SORO/PLASMA (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,1.29
70001206,"ZINCO, SORO",CA,TOXICO,TOXICOLOGY,2.2
70005903,"VITAMINA B12 (COBALAMINA), SORO",CA,TOXICO,VITAMINS,2.2
70000392,"FOSFORO, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,1.43
70000168,"ACIDO FOLICO, SORO",CA,CORELAB,IMMUNOHORMONE,2.38
70001115,"TIROXINA LIVRE - T4 LIVRE, SORO",CA,CORELAB,IMMUNOHORMONE,1.2
70004228,"TRANSAMINASE GLUTAMICA OXALACETICA (TGO), SORO",CA,CORELAB,BIOCHEMISTRY,1.21
70000301,"CREATINA, URINA DE 24 HORAS (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,3.9
70003318,"POTASSIO, SORO",CA,CORELAB,BIOCHEMISTRY,1.75
70001676,PESQUISA DE HELICOBACTER PYLORI,RID,GASTROENT,ENDOSCOPY,119.73
70004795,ENDOSCOPIA DIGESTIVA ALTA,RID,GASTROENT,THERAPY,139.81
70006146,"TIREOESTIMULANTE, HORMONIO (TSH), ULTRA SENSIVEL, SORO",CA,CORELAB,IMMUNOHORMONE,1.23
70004134,"GLICOSE, SORO/PLASMA (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,0.95
70002619,"ACIDO URICO (URATO), SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,0.82
70003018,"TRANSVAGINAL (UTERO, OVARIO, ANEXOS E VAGINA) - US",RID,ULTRASOUND,GENERAL,75.62
70003056,"TRANSAMINASE GLUTAMICA PIRUVICA (TGP), SORO",CA,CORELAB,BIOCHEMISTRY,1.12
70001276,"COLESTEROL, DOSAGEM DE ESTERES, SORO",CA,CORELAB,BIOCHEMISTRY,16.71
70004461,"25 HIDROXI VITAMINA D (CALCIDIOL), SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: NG/ML)",CA,TOXICO,VITAMINS,3.81
70004180,"SODIO, SORO",CA,CORELAB,BIOCHEMISTRY,1.77
70004185,"ROTINA DE URINA (CARACTERES FISICOS, ELEMENTOS ANORMAIS E SEDIMENTOSCOPIA), URINA JATO MEDIO",CA,URINE,ROUTINE,2.39
70003200,"UREIA, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,1.38
70006342,COLONOSCOPIA (INCLUI A RETOSSIGMOIDOSCOPIA),RID,GASTROENT,COLONOSCOPY,166.85
70004452,"SIFILIS, VDRL, SORO",CA,CORELAB,INFECTIOUS,6.13
70000985,"HIV 1+2 ANTICORPOS, QUANTITATIVO, SORO",CA,CORELAB,INFECTIOUS,2.23
70000139,"GORDURAS, PESQUISA, FEZES",CA,COPRO,SPECIAL COPRO,3.82
70001103,"CASEINA (F78), IGE RAST, SORO",CA,CORELAB,ALLERGY,6.58
70004215,"BETA LACTOGLOBULINA (F77), IGE RAST, SORO",CA,CORELAB,ALLERGY,6.61
70000570,"ALFA LACTO ALBUMINA (F76), IGE RAST, SORO",CA,CORELAB,ALLERGY,6.67
70001445,"SOJA GRAO (F14), IGE RAST, SORO",CA,CORELAB,ALLERGY,4.56
70004358,"LEITE DE VACA (F2), IGE RAST, SORO",CA,CORELAB,ALLERGY,4.37
70004709,"TRANSGLUTAMINASE TECIDUAL, ANTICORPOS IGA, SORO",CA,CORELAB,IMMUNOHORMONE,7.46
70003759,"PROTROMBINA, TEMPO, ATIVIDADE,RNI, PLASMA",CA,HEMATO,COAGULATION,3.9
70003846,"GONADOTROFINA CORIONICA (BETA HCG), DOSAGEM, SORO",CA,CORELAB,IMMUNOHORMONE,3.29
70004706,"COAGULOGRAMA, SANGUE",CA,HEMATO,COAGULATION,2.83
70003178,ECG CONVENCIONAL DE ATE 12 DERIVACOES,RID,CARDIO,GRAPHICAL METHODS,85.53
70005139,"BACTERIAS, ANTIBIOGRAMA AUTOMATIZADO",CA,MICROBIO,CULTURE,7.87
70004063,"HEPATITE B, (HBSAG), ANTIGENO DE SUPERFICIE, SORO",CA,CORELAB,IMMUNOHORMONE,1.74
70004964,"IDENTIFICACAO DE BACTERIAS, URINA JATO MEDIO, CULTURA AUTOMATIZADA",CA,MICROBIO,UROCULTURE,8.44
70004353,"TIROXINA (T4), SORO",CA,CORELAB,IMMUNOHORMONE,1.26
70002787,PROCEDIMENTO DIAGNOSTICO CITOPATOLOGICO EM MEIO LIQUIDO,PA,CYTO,LIQUID CYTOLOGY,18.59
70000473,"TRIGLICERIDES, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO MG/D",CA,CORELAB,BIOCHEMISTRY,0.8
70002976,"COLESTEROL TOTAL, SORO/PLASMA (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,0.76
70000498,"SEXO FETAL, DETERMINACAO, SANGUE",CA,GENETICS,BIOMOLECULAR,33.89
70005005,"STREPTOCOCCUS (AGALACTIAE) BETA-HEMOLITICO DO GRUPO B, DIVERSOS (XXX), CULTURA",CA,MICROBIO,BACTEROSCOPY,10.1
70000476,ANTICORPOS IRREGULARES - PESQUISA - SANGUE,CA,HEMATO,IMMUNOHEMATOLOGY,4.46
